//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 783

p 492 102 78.176285
p 493 101 79.21551
p 494 101 82.23372
p 495 100 84.10763
p 496 99 84.3712
p 497 99 87.369316
p 498 98 89.25744
p 499 97 91.08283
p 500 97 92.103004
p 501 97 94.088326
p 502 96 95.098465
p 503 95 96.42441
p 504 95 100.05288
p 503 94 98.252975
p 502 95 95.456566
p 501 96 94.409355

c 34 31.650024
p 468 35 123.08817
p 469 34 122.35373
p 470 33 121.34895
p 470 32 120.08169
p 471 31 119.26064
p 472 30 117.23782
p 473 29 115.474686
p 474 28 113.02395
p 475 27 110.13896
p 476 26 107.37783
p 477 25 105.201744
p 478 24 103.45408
p 479 23 101.37096
p 480 22 99.04944
p 481 21 97.32074
p 482 20 95.03869
p 482 19 92.1035
p 482 18 91.43815
p 482 17 91.43815
p 483 17 92.050186
p 484 18 92.29022
p 483 19 92.21132
p 484 19 92.46417
p 485 20 93.14312
p 486 21 93.13503
p 486 22 93.13503
p 486 23 95.102554
p 487 24 95.128
p 488 23 94.30633
p 488 22 93.324455
p 489 21 92.22211
p 490 21 92.22211
p 489 20 92.22246

c 35 5.9310303
p 468 202 12.11941
p 469 201 12.11941
p 470 201 13.036893
p 471 200 13.151026
p 471 199 13.345176
p 472 198 14.034142
p 472 197 14.061057
p 472 196 14.061057
p 472 195 14.364668
p 471 194 14.461234
p 471 193 14.461234
p 472 192 15.253592
p 473 191 16.029476
p 472 190 16.300571
p 473 189 17.127604
p 474 189 18.040213
p 475 188 18.040213
p 476 189 18.05044
p 476 190 17.04044
p 475 191 17.00107
p 476 192 16.323647
p 476 193 16.323647
p 476 194 16.038158
p 476 195 16.038158

c 36 27.752792
p 470 41 126.028244
p 471 40 125.2027
p 471 39 124.275475
p 472 38 123.0801
p 473 37 122.11147
p 474 36 121.37856
p 475 36 120.146614
p 476 36 119.349396
p 477 35 118.01219
p 478 34 115.2017
p 479 33 113.195786
p 480 32 110.04282
p 481 31 108.32773
p 482 30 107.29062
p 483 29 105.26544
p 484 28 103.01621
p 484 27 102.05454
p 485 26 100.06602
p 486 25 98.27545
p 485 24 98.28315
p 484 25 100.38787
p 483 26 102.03873
p 482 27 103.07891
p 481 28 106.2389
p 480 29 108.449646
p 479 30 110.13384

